,Security Code,Security Id,Security Name,dayHigh,dayLow,52weekHigh,52weekLow
139,504067,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,144.95,138.05,271.30,138.05
197,522275,GET&D,GE T&D India Ltd,145.40,139.55,308.00,124.00
133,501455,GREAVESCOT,GREAVES COTTON LTD.,145.60,137.80,157.25,112.60
296,532548,CENTURYPLY,CENTURY PLYBOARDS (I) LTD.-$,153.50,150.00,222.35,112.30
127,500877,APOLLOTYRE,APOLLO TYRES LTD.,154.50,150.50,235.70,144.05
334,532843,FORTIS,FORTIS HEALTHCARE LTD.,155.40,149.65,169.00,111.60
335,532848,DELTACORP,DELTA CORP LTD.,155.70,146.65,277.75,116.05
125,500870,CASTROLIND,CASTROL INDIA LTD.,157.90,150.40,172.80,112.75
423,540025,ADVENZYMES,Advanced Enzyme Technologies Ltd,160.80,157.30,225.00,142.00
16,500085,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,161.60,151.80,196.25,133.70
318,532756,MAHINDCIE,Mahindra CIE Automotive Limited,164.70,150.25,255.00,135.55
339,532872,SPARC,SUN PHARMA ADVANCED RESEARCH COMPANY LTD.,166.45,160.55,210.70,107.00
340,532880,OMAXE,OMAXE LTD.,167.00,154.65,217.65,143.95
468,542066,ADANIGAS,Adani Gas Ltd,167.30,163.40,185.60,94.25
104,500570,TATAMOTORS,TATA MOTORS LTD.,168.40,158.60,239.30,106.00
232,531426,TNPL,TAMIL NADU NEWSPRINT & PAPERS LTD.,169.25,165.00,244.00,151.30
8,500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,170.95,161.35,195.00,109.65
229,531213,MANAPPURAM,MANAPPURAM FINANCE LTD.,171.35,166.75,194.60,103.30
455,540975,ASTERDM,Aster DM Healthcare Ltd,172.30,165.45,180.50,109.70
319,532772,DCBBANK,DCB Bank Limited,173.00,166.60,244.60,164.95
375,533278,COALINDIA,COAL INDIA LTD.,174.00,165.00,270.90,165.00
278,532483,CANBK,CANARA BANK,174.80,167.65,302.00,167.65
41,500171,GHCL*,GHCL LTD.,175.15,170.50,277.20,170.50
109,500670,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,176.10,171.00,337.65,155.15
17,500086,EXIDEIND,EXIDE INDUSTRIES LTD.,178.05,173.90,234.40,166.00
277,532482,GRANULES,GRANULES INDIA LTD.-$,180.50,172.60,180.50,84.25
345,532898,POWERGRID,POWER GRID CORPORATION OF INDIA LTD.,185.90,181.00,216.20,177.05
35,500135,ESSELPRO,ESSEL PROPACK LTD.,187.15,177.75,197.00,78.85
46,500188,HINDZINC,HINDUSTAN ZINC LTD.,189.10,184.65,291.80,184.65
257,532286,JINDALSTEL,JINDAL STEEL & POWER LTD.,189.15,181.85,202.40,91.10
88,500440,HINDALCO,HINDALCO INDUSTRIES LTD.,189.85,181.90,221.20,171.25
448,540750,IEX,Indian Energy Exchange Ltd,195.00,181.30,199.95,112.00
285,532509,SUPRAJIT,SUPRAJIT ENGINEERING LTD.-$,196.75,187.00,246.75,146.00
369,533229,BAJAJCON,Bajaj Consumer Care Ltd,197.45,189.00,367.00,188.75
462,541450,ADANIGREEN,Adani Green Energy Ltd,200.05,188.55,243.25,30.05
