,Security Code,Security Id,Security Name,dayHigh,dayLow,52weekHigh,52weekLow
573,506906,SCBL,Saptak Chem And Business Ltd,2.61,2.61,9.20,2.13
1663,526477,SAENTER,SOUTH ASIAN ENTERPRISES LTD.,2.62,2.62,3.83,2.35
1763,526959,WOODSVILA,WOODSVILLA LTD.,2.62,2.62,2.62,2.39
2461,532379,FIRSTOBJ,FIRSTOBJECT TECHNOLOGIES LTD.,2.62,2.61,12.00,2.61
1493,524038,VENLONENT,VENLON ENTERPRISES LTD.,2.64,2.64,3.75,2.53
101,500192,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,2.64,2.50,3.37,2.25
804,511585,REGTRUS,REGENCY TRUST LTD.,2.65,2.65,2.94,2.65
477,505650,SKYLMILAR,SKYLINE MILLARS LTD.,2.65,2.53,3.95,1.77
1885,530469,GSLSEC,GSL SECURITIES LTD.,2.66,2.66,4.04,1.53
681,509020,RUCHINFRA,RUCHI INFRASTRUCTURE LTD.,2.68,2.68,3.65,1.79
1104,515127,RAMASIGNS,Ramasigns Industries Ltd,2.69,2.69,9.90,2.57
855,512026,PHTRADING,PH TRADING LTD.,2.70,2.70,2.70,2.70
2246,531739,GENNEX,GENNEX LABORATORIES LTD.,2.70,2.54,4.66,2.28
35,500083,CENTEXT,CENTURY EXTRUSIONS LTD.,2.71,2.67,7.00,2.26
1882,530457,CINERAD,CINERAD COMMUNICATIONS LTD.,2.71,2.71,3.61,2.71
1066,514312,JAIHINDS,JAIHIND SYNTHETICS LTD.,2.71,2.71,4.30,2.71
1569,524652,INDSWFTLTD,IND-SWIFT LTD.,2.72,2.72,7.34,2.71
2568,532640,CYBERMEDIA,CYBER MEDIA (INDIA) LTD.,2.73,2.50,6.90,2.50
1679,526538,MAXIMAA,MAXIMAA SYSTEMS LTD.,2.73,2.73,5.30,0.95
3231,538963,PACT,Pact Industries Ltd,2.77,2.76,2.90,1.25
2815,533008,OISL,OCL IRON AND STEEL LTD.,2.79,2.56,10.02,1.96
2144,531420,BMBMUMG,BMB MUSIC & MAGNETICS LTD.,2.79,2.79,2.79,2.10
2493,532441,RAINBOWDQ,RAINBOW DENIM LTD.,2.80,2.80,6.33,2.80
3300,539199,MOONGIPASEC,Moongipa Securities Ltd,2.80,2.80,3.75,2.70
2469,532391,OPTOCIRCUI,OPTO CIRCUITS (INDIA) LTD.,2.81,2.64,9.90,2.26
3299,539198,CAPFIN,Capfin India Ltd,2.82,2.82,3.12,1.52
1873,530421,KUWERIN,KUWER INDUSTRIES LTD.,2.82,2.82,4.38,2.33
2428,532330,BIOPAC,BIOPAC INDIA CORPORATION LTD.-$,2.84,2.84,6.84,1.47
3357,539383,MINFY,Mahaveer Infoway Ltd,2.85,2.85,3.01,2.85
2746,532894,INDOWIND,INDOWIND ENERGY LTD.,2.85,2.75,7.08,2.51
1077,514378,YARNSYN,YARN SYNDICATE LTD.,2.85,2.85,4.18,2.85
778,511401,MCLTD,Munoth Communication Ltd,2.85,2.85,3.15,2.85
3358,539384,KRISHNACAP,Krishna Capital and Securities Ltd,2.85,2.85,6.93,2.66
631,507878,UNITECH,UNITECH LTD.,2.87,2.87,2.87,0.37
1643,526335,SHREYASI,SHREYAS INTERMEDIATES LTD.,2.87,2.73,3.69,2.73
775,511377,MEHIF,MEHTA INTEGRATED FINANCE LTD.,2.88,2.88,7.35,2.50
3190,538786,CIL,Citizen Infoline Ltd,2.89,2.89,3.89,2.89
903,512377,MAGANTR,MAGNANIMOUS TRADE & FINANCE LTD.,2.89,2.89,2.89,2.63
396,504180,STDBAT,STANDARD BATTERIES LTD.,2.89,2.89,7.94,1.64
2029,531157,ORGCOAT,ORGANIC COATINGS LTD.,2.90,2.90,8.97,2.90
1734,526813,RAGHUNAT,RAGHUNATH INTERNATIONAL LTD.,2.90,2.90,4.01,2.33
2187,531552,RAGHUTOB,RAGHUNATH TOBACCO CO.LTD.,2.90,2.90,5.10,2.81
1014,513566,NOVIS,NOVA IRON & STEEL LTD.,2.91,2.90,8.30,2.05
3031,535205,MYSTICELE,Mystic Electronics Ltd,2.95,2.95,8.41,2.55
514,506079,LAKPRE,LAKSHMI PRECISION SCREWS LTD.,2.95,2.95,17.00,2.92
886,512247,ASHCAP,ASHIRWAD CAPITAL LTD.,2.95,2.81,3.88,2.51
1219,519279,MADHURIND,MADHUR INDUSTRIES LTD.,2.95,2.95,10.00,2.68
478,505658,REMIPRO,REMI PROCESS PLANT & MACHINERY LTD.,2.99,2.85,2.99,2.85
1577,524689,PARENTLD,PARENTERAL DRUGS (INDIA) LTD.-$,2.99,2.99,10.50,2.50
2814,533007,LGBFORGE,LGB FORGE LTD.,2.99,2.71,4.72,2.15
846,511760,SEVENHILL,Seven Hill Industries Limited,3.00,3.00,3.00,2.70
3013,534733,SUPREMEX,Supremex Shine Steels Ltd,3.00,3.00,12.68,3.00
3366,539403,ARAMBHAN,Arambhan Hospitality Services Ltd,3.00,3.00,19.15,2.85
3090,537492,AGRIMONY,Agrimony Commodities Ltd,3.00,3.00,3.00,3.00
2748,532896,MAGNUM,MAGNUM VENTURES LTD.,3.00,3.00,7.59,2.80
1729,526795,MHSGRMS,MAHASAGAR TRAVELS LTD.,3.00,3.00,3.24,2.69
1656,526431,WELTI,WELTERMAN INTERNATIONAL LTD.,3.02,3.02,4.32,3.02
2548,532604,SALSTEEL,S.A.L.STEEL LTD.,3.03,2.90,6.00,1.97
323,502271,RASSIREF,RAASI REFRACTORIES LTD.-$,3.03,3.03,16.30,3.03
3168,538674,CITYONLINE,City Online Services Ltd,3.04,3.04,4.54,2.90
218,500421,TPINDIA,TPI INDIA LTD.,3.04,3.04,4.20,3.04
3328,539274,BLFL,Boston Leasing and Finance Ltd,3.05,3.05,11.80,2.32
2135,531402,LWSKNIT,LWS KNITWEAR LTD.,3.05,3.05,8.16,2.99
738,510245,SWASTIVI,SWASTI VINAYAKA SYNTHETICS LTD.,3.05,2.94,4.14,2.50
1404,523289,RAMAVISION,RAMA VISION LTD.,3.06,3.06,6.62,2.29
527,506184,KANANIIND,KANANI INDUSTRIES LTD.,3.07,3.07,7.50,2.63
3320,539252,SCFL,Shyam Century Ferrous Ltd,3.08,2.95,8.50,2.32
1708,526687,POLOHOT,POLO HOTELS LTD.,3.09,3.06,7.35,2.95
2174,531512,ORIENTTR,ORIENT TRADELINK LTD.,3.09,2.85,9.40,2.63
1817,530171,DAULAT,DAULAT SECURITIES LTD.,3.09,3.09,9.50,3.05
1575,524675,KABSON,KABSONS INDUSTRIES LTD.,3.09,3.09,5.01,2.62
1682,526550,CCHHL,Country Club Hospitality & Holidays Ltd,3.09,2.99,8.05,2.90
1530,524434,ASINPET,ASIAN PETROPRODUCTS & EXPORTS LTD.,3.10,3.10,3.84,2.85
2348,532083,SHKALYN,SHRI KALYAN HOLDINGS LTD.,3.12,3.01,3.12,3.01
1713,526711,ADARSHPL,ADARSH PLANT PROTECT LTD.,3.12,3.12,5.00,2.90
1634,526241,AMRAPLIN,AMRAPALI INDUSTRIES LTD.,3.12,3.12,5.56,3.10
1092,514482,ASAHIIND,Asahi Industries Limited,3.14,3.14,3.36,3.14
3163,538652,HCLTD,Hind Commerce Ltd,3.15,3.15,3.15,3.15
1670,526494,PROMACT,Promact Impex Ltd,3.15,2.89,7.60,2.89
3407,539544,ABHIINFRA,Abhishek Infraventures Ltd,3.17,3.17,4.00,3.04
3600,540481,CLFL,Classic Leasing & Finance Ltd,3.17,3.02,3.17,3.02
524,506161,ISHWATR,ISHWARSHAKTI HOLDINGS & TRADERS LTD.,3.19,3.19,3.19,2.77
3831,542477,GLEAM,Gleam Fabmat Ltd,3.19,3.19,9.00,2.53
3411,539552,FMEC,F Mec International Financial Services Ltd,3.20,3.20,3.20,3.20
2210,531626,OROSMITHS,OROSIL SMITHS INDIA LTD.-$,3.20,3.20,8.92,3.19
2088,531283,CINDRELL,CINDRELLA FINANCIAL SERVICES LTD.,3.20,3.20,3.20,3.08
1221,519287,MODAIRY,MODERN DAIRIES LTD.,3.20,3.16,7.00,2.50
2124,531370,SPARCSYS,SPARC SYSTEMS LTD.,3.20,3.20,5.42,2.92
521,506134,INTELLCAP,INTELLIVATE CAPITAL VENTURES LTD.,3.20,3.20,8.38,2.85
1725,526755,VELHO,VELAN HOTELS LTD.,3.22,2.95,5.49,2.49
2183,531541,AVONLIFE,Avon Lifesciences Ltd-$,3.23,3.23,5.92,1.19
766,511208,IVC,IL&FS INVESTMENT MANAGERS LTD.,3.25,3.00,6.52,2.90
1942,530783,TRANSASIA,TRANS ASIA CORPORATION LTD.,3.25,3.25,3.41,3.24
3419,539596,DELTA,Delta Industrial Resources Ltd,3.25,3.25,9.26,3.22
591,507450,THIRUSUGAR,THIRU AROORAN SUGARS LTD.,3.26,3.26,20.40,2.70
2105,531328,KRETTOSYS,Kretto Syscon Ltd,3.28,3.28,12.80,3.28
1489,524013,HINFLUR,HINDUSTAN FLUOROCARBONS LTD.,3.29,3.29,21.72,3.29
293,501311,JAYBHCR,JAYABHARAT CREDIT LTD.-$,3.29,3.29,10.17,3.29
2794,532972,SANKHYAIN,SANKHYA INFOTECH LTD.,3.30,3.18,84.45,2.76
2333,532035,UNISTRMU,UNISTAR MULTIMEDIA LTD.,3.33,3.33,4.24,1.19
1282,521054,KAKTEX,KAKATIYA TEXTILES LTD.,3.33,3.33,3.72,3.06
310,501833,CHOWGULSTM,CHOWGULE STEAMSHIPS LTD.,3.33,3.30,9.23,2.25
2166,531497,MADHUCON,MADHUCON PROJECTS LTD.-$,3.36,3.05,10.91,2.94
3139,538557,SAIBABA,Sai Baba Investment And Commercial Enterprises Ltd,3.36,3.36,31.40,1.12
1784,530045,TITANSEC,TITAN SECURITIES LTD.,3.38,3.31,4.72,1.92
1303,521180,SUPERSPIN,SUPER SPINNING MILLS LTD.,3.38,3.22,8.45,3.20
3281,539131,CLLIMITED,Crescent Leasing Ltd,3.38,3.06,6.18,1.36
1809,530141,GYANDEV,GYAN DEVELOPERS & BUILDERS LTD.,3.39,3.39,7.21,3.39
2208,531621,CENTERAC,CENTERAC TECHNOLOGIES LTD.,3.39,3.38,3.50,1.58
409,504365,RIDHISYN,RIDHI SYNTHETICS LTD.,3.40,3.40,3.40,3.40
887,512257,SVARTCORP,Swasti Vinayaka Art And Heritage Corporation Ltd,3.40,3.20,5.10,3.06
2327,532022,FILATFASH,FILATEX FASHIONS LTD.,3.40,2.89,4.78,1.72
366,503675,WAGEND,Wagend Infra Venture Limited,3.41,3.41,4.41,3.10
1414,523373,MINID,MINI DIAMONDS (INDIA) LTD.,3.42,3.42,4.40,3.42
2076,531259,ESHAMEDIA,Esha Media Research Limited,3.42,3.42,6.23,3.42
983,513403,PMTELELIN,P.M.TELELINNKS LTD.,3.43,3.43,4.49,2.15
2196,531583,RAP,RAP MEDIA LTD.,3.43,3.43,7.95,3.43
1627,526195,NOGMIND,NEOGEM INDIA LTD.,3.44,3.44,3.81,2.78
1576,524687,BASANTGL,BASANT AGRO TECH (INDIA) LTD.-$,3.45,3.22,4.95,2.75
1789,530063,YASHRAJC,YASHRAJ CONTAINEURS LTD.,3.46,3.46,8.23,2.25
2113,531341,GUJINV,GUJARAT INVESTA LTD.,3.47,3.47,4.25,3.47
1529,524414,NORRIS,NORRIS MEDICINES LTD.,3.47,3.47,10.61,3.11
380,503893,ZSATYASL,SATYAM SILK MILLS LTD.,3.48,3.48,3.48,3.48
1327,522027,EMAINDIA,EMA INDIA LTD.,3.49,3.49,19.60,3.33
2760,532920,EDL,EMPEE DISTILLERIES LTD.,3.50,3.23,8.80,2.99
2261,531797,SCANPRO,SCAN PROJECTS LTD.,3.50,3.50,3.72,3.08
168,500313,OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,3.50,3.50,16.54,3.10
388,504076,JYOTI,JYOTI LTD.-$,3.50,3.33,12.95,3.33
958,513151,STINDIA,STI INDIA LTD.,3.50,3.50,12.10,3.50
2230,531680,MAYUR,MAYUR LEATHER PRODUCTS LTD.,3.50,3.50,18.65,3.49
3520,540072,SHIVAEXPO,Shiva Granito Export Ltd,3.52,3.52,7.00,2.05
2711,532845,TGBHOTELS,TGB BANQUETS AND HOTELS LTD.,3.53,3.41,14.89,3.30
1134,517119,PCS,PCS TECHNOLOGY LTD.,3.57,3.45,11.56,3.36
991,513452,ELANGO,ELANGO INDUSTRIES LTD.,3.57,3.57,4.00,2.87
774,511367,MEGLON,MEGLON INFRA-REAL (INDIA) LTD.,3.57,3.57,4.04,3.57
899,512344,ARAVALIS,ARAVALI SECURITIES & FINANCE LTD.,3.57,3.57,3.77,3.57
1475,523826,SOVERDIA,SOVEREIGN DIAMONDS LTD.,3.59,3.59,6.65,3.26
3516,540063,ECS,ECS Biztech Ltd,3.59,3.59,4.95,2.43
2093,531300,AMITINT,AMIT INTERNATIONAL LTD.,3.60,3.60,3.77,1.99
3186,538770,CRANEINFRA,Crane Infrastructure Ltd,3.60,3.60,13.60,3.45
1903,530581,EKAMLEA,EKAM LEASING & FINANCE CO.LTD.,3.60,3.60,5.13,2.60
1661,526471,WINSOMBR,WINSOME BREWERIES LTD.,3.60,3.60,4.68,2.37
2155,531453,MOHITIND,MOHIT INDUSTRIES LTD.-$,3.60,3.57,10.65,3.47
1973,530915,JRFOODS,J.R.FOODS LTD.,3.60,3.60,20.65,2.03
930,512565,RTEXPO,R.T.EXPORTS LTD.-$,3.61,3.61,7.35,3.61
2114,531343,INDINFRA,INDIA INFRASPACE LTD.,3.61,3.61,4.28,3.61
2877,533203,TARAPUR,Tarapur Transformers Ltd,3.63,3.57,7.19,3.08
3079,536965,BPCAP,B. P. Capital Ltd,3.64,3.64,16.00,3.64
2903,533268,SEATV,SEA TV NETWORK LTD.,3.65,3.65,3.67,3.32
1388,523164,SIPIND,SIP INDUSTRIES LTD.,3.66,3.66,3.85,3.66
1364,522285,JAYNECOIND,JAYASWAL NECO INDUSTRIES LTD.,3.66,3.51,6.70,3.00
3460,539819,MUDRA,Mudra Financial Services Ltd,3.67,3.67,3.67,3.50
2190,531557,AMITSEC,AMIT SECURITIES LTD.,3.67,3.67,4.50,3.67
2961,533576,VASWANI,VASWANI INDUSTRIES LTD.,3.69,3.45,12.80,3.45
2610,532701,CELLA,Cella Space Ltd,3.71,3.58,6.40,3.14
674,508980,FRONTCAP,Frontier Capital Ltd,3.72,3.72,3.72,3.72
1935,530747,INDOASIAF,INDO ASIAN FINANCE LTD.,3.72,3.72,3.72,3.41
2149,531436,SAFFRON,Saffron Industries Limited,3.74,3.74,12.25,3.74
3777,541735,VIVANTA,Vivanta Industries Ltd,3.74,3.74,8.66,3.40
1183,517530,SURANAT&P,Surana Telecom And Power Limited,3.75,3.75,5.73,3.01
598,507508,RIGASUG,RIGA SUGAR COMPANY LTD.-$,3.75,3.66,7.27,3.46
2929,533315,INOVSYNTH,INNOVASSYNTH INVESTMENTS LTD.,3.75,3.70,9.87,3.52
2455,532371,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,3.80,3.28,5.27,2.21
3706,540938,GUJHYSPIN,Gujarat Hy-Spin Ltd,3.80,3.80,6.75,2.51
1484,523862,PIFL,Pacheli Industrial Finance Ltd,3.80,3.80,6.00,3.50
2412,532290,BLBLIMITED,BLB LTD.,3.80,3.80,7.30,3.03
2026,531153,DILIGENT,DILIGENT INDUSTRIES LTD.,3.83,3.83,14.85,3.83
3129,538476,CTL,Capital Trade Links Ltd,3.84,3.50,5.00,2.71
165,500306,JAYKAY,JAYKAY ENTERPRISES LTD.,3.85,3.40,6.40,2.55
545,506520,JAYCH,JAYSHREE CHEMICALS LTD.,3.87,3.23,8.99,3.06
1870,530405,JINDCAP,JINDAL CAPITAL LTD.,3.87,3.87,7.88,3.40
3030,535204,MUKTA,Mukta Agriculture Ltd,3.88,3.88,25.75,3.80
2562,532629,MBECL,MCNALLY BHARAT ENGINEERING COMPANY LTD.,3.88,3.88,9.00,2.30
333,502563,SHBHAWPA,SHREE BHAWANI PAPER MILLS LTD.,3.88,3.88,4.18,3.70
2141,531413,KIRANPR,KIRAN PRINT-PACK LTD.,3.89,3.89,4.31,3.71
1929,530713,AJEL,AJEL LTD.,3.89,3.89,6.59,3.89
229,500458,KORE,Kore Foods Ltd,3.89,3.89,4.75,3.89
777,511391,INTRGLB,INTER GLOBE FINANCE LTD.,3.90,3.90,13.16,2.40
3179,538731,HANMAN,Hanman Fit Ltd,3.90,3.90,9.78,3.60
2087,531281,PGINDST,PG INDUSTRY LTD.,3.90,3.90,11.50,3.90
1618,526139,TRABI,TRANSGENE BIOTEK LTD.,3.93,3.90,5.21,2.01
949,513059,GSAUTO,G.S.AUTO INTERNATIONAL LTD.,3.93,3.78,8.30,3.09
3094,537582,UNISHIRE,Unishire Urban Infra Ltd,3.94,3.94,7.18,2.34
3324,539266,CONCRETE,Concrete Credit Ltd,3.96,3.96,7.49,3.96
3184,538743,MUDUNURU,Mudunuru Ltd,3.96,3.96,4.40,3.61
2808,532993,SEZAL,Sezal Glass Limited,3.96,3.96,5.30,3.96
